sasdate,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S.P.500,S.P.div.yield,S.P.PE.ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXAFEGSMTHx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,DTCOLNVHFNM,DTCTHFNM,INVEST,VIXCLSx
01/01/1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,NA,40.2,7.412764017,5.857933154,6.11368218,6.224558429,5.857933154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.34,0.61,0.88,1.53,1.54,1.64,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/01/1959,0.003877037,0.003620807,0.010349211,0.007335991,0.00730985,0.019394881,0.013404548,0.008627664,0.007309075,0.005231729,0.009511732,0.013296198,0.031178505,0.045029033,0.01735924,0.018213066,-0.002724962,-0.013714909,1.2455,64,0.024806722,-0.004233513,-0.0028851,-0.1,-0.8,-0.012787898,-0.004286333,-0.089097427,-0.086093525,-0.091328094,-0.028292796,0.003993691,0.0049886,-0.012419014,-0.004352928,0.007770769,0.011263558,0.00287219,0.003438059,0.003890695,0.002604928,0.005777347,8.27E-04,0.001356267,39.7,0.1,40.3,7.418780883,5.846438775,6.150602768,6.230481448,5.840641657,NA,NA,NA,NA,NA,NA,0.045415505,NA,0.024493366,0.003436823,-0.020662252,NA,NA,0.004242431,NA,NA,NA,NA,NA,NA,8.00E-04,-0.01540025,0.061175661,-0.001498613,-0.05,-0.04,-0.12,0.04,0.18,-0.05,-0.06,0.02,0.02,0.83,0.27,0.7,1.11,1.53,1.53,1.71,2.46,NA,2.55E-04,0,9.97E-04,0.007930419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/01/1959,0.006456604,0.007324841,0.009404356,-0.003373737,0.008321199,0.014299925,0.006035986,0.004895612,0,0.019396785,-0.004744557,0.010748729,0.025643166,0.038640513,0.014908507,0.015523186,0.006798532,0.025000616,1.0341,103,0.042561243,0.006174633,0.009112927,-0.3,-0.2,-0.063080982,-0.06293614,-0.053893217,-0.027908788,-0.073687716,-0.083286961,0.006168304,0.009431298,-1.42E-04,0.01101296,0.009481865,0.014154359,0.002863964,0.004339939,0.005256133,0.003488511,0.009303769,0.004123717,0.001969474,40,0.2,40.4,7.390181428,5.799092654,6.023447593,6.22059017,5.924255797,NA,NA,NA,NA,NA,NA,0.02216609,NA,0.024973264,0.005133189,-0.010331125,-0.001443481,0.001369465,0.006229924,0.011948301,0.005189425,NA,-0.0027517,-0.004383406,-0.001294278,3.58E-04,0.025062161,-0.067808582,0.031069936,0.37,0.09,0.1,0,0.07,0.03,0.03,-0.01,-0.04,0.55,0,0.33,0.81,1.19,1.19,1.33,2.05,NA,0.002200068,0,0.001209534,-0.005142457,-0.003016594,-0.002998503,-0.003262646,0.009528881,-0.010050336,0.012232568,-6.90E-04,0.002234638,0.003372529,-2.23E-05,-0.003007521,0.005235614,-0.004357305,0,0,0,-3.30E-04,6.76E-04,-0.001147764,2.92E-04,-2.18E-05,-0.008146651,0.004818829,NA,0.004929154,0.004138441,-0.014792359,NA
04/01/1959,0.006510338,0.007028692,-0.003621552,0.019915381,6.16E-04,0.021080099,0.014339432,0.014544655,0.015651806,0.006379468,0.016509672,0.02579831,0.027244216,0.02965616,0.030502722,0.021105522,0.004057044,-0.004499584,1.5153,65,0.044026278,0.003973408,0.007765374,-0.4,-0.4,0.023705817,-0.15720505,-0.152361647,-0.261609832,-0.074786936,-0.055002526,0.00577422,0.010433607,0.001561059,0.023615397,0.008223516,0.012415634,0.00222187,0.0031472,0.002938748,0.004825053,-0.006687011,0.003696862,0.001228954,40.2,0.1,40.5,7.371489295,5.616771098,5.96870756,6.284134161,5.96100534,NA,NA,NA,NA,NA,NA,0.010990101,NA,0.016413723,0.013336545,0,-0.002149768,-0.002093019,0.002700947,0.010026126,0.026983775,NA,0.014651216,0.004206743,-8.57E-04,6.72E-05,0.016599357,-0.040203272,0.01429893,0.16,0.07,0.15,0.14,0.11,0.13,0.13,0.1,0.01,0.46,-0.01,0.31,0.76,1.16,1.16,1.27,1.9,NA,-4.63E-05,0,0.001350103,-0.006413594,0,0.005997006,0,0.003149482,0.010050336,-0.018330148,0.001380143,0.002234638,-0.003407003,-0.004705891,0.003007521,-0.005235614,0.004338402,0.003454235,0,0,0.001314578,-2.53E-04,0.001311831,0.001759509,-2.16E-05,0.012203451,-0.004889528,NA,0.012134027,0.006734296,0.024929243,NA
05/01/1959,0.005796418,0.006617731,0.012042519,0.006838836,0.007803395,0.014953526,0.008266585,0.009580224,0.004766122,0.020152058,0,0.031888596,0.025430475,0.034049519,0.008943755,0.013822391,0.014731666,-0.019351642,0.9237,66,0.030738014,-0.002358682,-0.001065909,-0.1,-0.2,-0.010090903,0.073266382,-0.07388589,-0.045120435,-0.092935822,0.002184996,0.004285547,0.005640815,0.00678352,6.48E-04,0.006607954,0.009102437,0.003007521,0.003517827,0.004026728,0.00403513,0.011224166,0.003274665,0.001350108,40.3,0,40.7,7.311886164,5.560681631,5.872117789,6.188264123,5.981414211,NA,NA,NA,NA,NA,NA,-0.043037512,NA,-0.003042673,0.005709503,-0.010331126,0.007132698,0.004105607,0.005181359,-0.008016075,-0.021534802,NA,0.00872493,-5.89E-04,0.001647346,5.67E-04,0.014949001,-0.034677283,0.011409877,-0.06,0.14,-0.11,0.06,0.24,0.23,0.19,0.14,0.1,0.66,-0.06,0.43,1.06,1.45,1.41,1.47,2.06,NA,4.63E-05,0,-7.10E-04,-6.23E-04,0.003007521,-0.005997006,0.006493529,-0.01265827,0,0.01219516,0.001723128,-4.98E-06,-0.003372684,0.004683849,0.003007521,0.002607563,-1.87E-05,-1.19E-05,0,0,-0.001447645,6.57E-04,-0.001694767,-0.001866517,-2.14E-05,-0.004089717,-0.004819286,NA,0.0028283,0.002020399,-0.01534223,NA
06/01/1959,0.003068258,0.003011869,0.00364206,-9.68E-05,0.009064341,0.001137473,0.007035147,0.007125414,-0.004766122,0.007452917,-0.007040378,0.023274748,-0.006571942,-0.007348538,-0.003003836,0.001146645,0.00530539,0,-0.1473,62,0.025017665,0.001465674,0.002315745,-0.1,0.2,0.028659076,-0.042689409,-0.00207469,0.062131781,-0.048094754,0.044765099,0.002443325,0.004325444,0.007017573,0.004202366,0.004316878,0.005335088,0.002840911,0.00137445,0.001733814,0.002834057,0.002105437,0.002856562,-0.001227295,40.2,0,40.6,7.31521839,5.537334267,5.837730447,6.249975242,5.96100534,NA,NA,NA,NA,NA,NA,0.045692616,NA,0.007620679,0.009996751,0.010331126,-0.003585337,-7.31E-04,0.004066457,0.003984069,-2.89E-05,NA,0.001885236,-0.001819195,0.002296369,8.99E-04,-0.008664064,0.038381734,-0.02028371,0.49,0.27,0.37,0.19,0.11,0.15,0.03,0.09,0.08,0.44,-0.18,0.13,0.68,1.11,0.95,1.07,1.65,NA,-0.002617469,0,-7.11E-04,-0.004162337,-0.006015042,0.005997006,-0.006493529,-4.03E-05,0,-0.003062676,3.39E-04,-4.96E-06,0.003361348,-2.18E-05,-0.003007521,-0.002607563,-0.004319661,-1.18E-05,0.003252035,0.003372684,0.002359917,3.26E-04,0.003333871,0.001945612,-0.004618946,0.003991762,0.004796172,NA,0.009726265,0.009006692,-0.012251828,NA
07/01/1959,-5.80E-04,-7.62E-04,-0.003386044,0.012154517,-3.30E-04,-0.024236819,0.001167728,0.008251447,0.013055608,0.019608713,0.008209825,0.002177495,-0.061175928,-0.105483813,0.004729692,-0.018455835,0.013141622,-0.023254593,-1.7888,6,-0.012350391,0.00381532,0.002494996,0.1,-0.6,0.04433749,0.083630799,-0.079956176,-0.051927611,-0.101717524,0.019137468,0.002288692,0.003436694,0.01430282,-0.004202366,0.004426347,0.00617052,0.001889467,0.00163518,8.20E-04,8.41E-04,6.58E-04,0.002442004,0.003677376,39.9,-0.1,40.3,7.344072851,5.602118821,5.916202063,6.278521424,5.918893854,NA,NA,NA,NA,NA,NA,-0.079375125,NA,-0.007999037,0.007706743,0.030993377,-1.25E-05,-0.002748099,0.002372715,0.005907208,0.01614364,NA,-0.008698611,-0.001795376,8.51E-05,0.0014919,0.038912759,-0.107728157,0.023099913,0.08,0.15,-0.01,0.3,0.32,0.08,0.06,0.01,0.04,0.51,-0.27,0.35,0.92,1.11,0.93,1,1.61,NA,-4.41E-04,0,-2.84E-04,-0.001774253,-9.07E-06,-0.005997006,-0.003241494,-0.003261445,0,-0.012167387,-0.001034413,-4.94E-06,-1.13E-05,-0.004662013,0,0.002600782,0.004301082,-0.003430535,-1.05E-05,-1.13E-05,-7.92E-04,-0.001503712,-0.001203853,-1.30E-05,0,-0.00404015,-0.004796172,NA,-0.004630642,-1.00E-03,0.029341279,NA
08/01/1959,-0.005653279,-0.00575489,0.005997593,-0.05252069,0.006364206,-0.034463837,-0.007026908,-0.002350007,0.001181231,-0.028310874,0.011614793,-0.00877233,-0.078974769,-0.128520831,-0.003691923,-0.04038453,0.00650661,0.016335408,-3.5122,-85,-0.031856946,-0.001562375,-0.002572101,0.1,-0.6,0.010006337,0.06113014,0,0.032462276,-0.026613649,0.086883796,-0.008736289,-0.024885934,-0.083795316,-6.48E-04,-0.027317189,-0.048649876,0.002984374,3.50E-04,0.002456668,0.015432464,0.003211564,0.001624696,9.78E-04,40,0.1,40.4,7.265429723,5.438079309,5.857933154,6.161207322,5.929589143,NA,NA,NA,NA,NA,NA,-0.048423429,NA,-2.94E-04,0.001643746,0.030993378,-0.002124384,3.24E-04,0.003056448,-0.011861721,-0.016114735,NA,-0.00280516,-0.001473195,-1.64E-04,0.002232431,-0.005707586,0.028426667,-0.018620008,0.03,-0.01,0.18,0.05,0.03,-0.01,0.03,-0.04,0.01,0.47,-0.12,0.37,0.92,1.07,0.93,0.93,1.59,NA,0.001113173,0,-7.83E-04,-0.002824417,-9.13E-06,-0.003025612,0.003241494,-9.37E-05,0,-8.42E-05,-3.45E-04,-4.92E-06,-0.003350087,0.00464038,0,-0.005201563,-1.84E-05,0.003418807,-0.003241494,-0.003361348,-6.57E-04,-0.005138976,8.70E-04,-6.89E-04,0,0.003944528,-0.009615459,NA,-4.72E-04,-5.02E-04,-0.025495453,NA
09/01/1959,7.63E-04,0,0.010000716,0.014659574,-0.013156998,-0.001210787,-0.004708074,-0.00353754,-0.00354178,-0.030418426,0.005757196,-0.00774935,-0.001259874,-0.004003678,0.001316204,-0.002429084,0.02054114,-0.006967393,-0.4187,-33,-0.031356176,0.001649912,-0.001141852,0.3,0,-0.003116238,0.135887106,0.006726483,0.098209702,-0.077625162,-0.047045692,0.001723428,1.57E-04,-0.021978907,-0.011082252,0.003414766,0.005311047,0.000783883,0.002592373,-0.001182087,-0.006530666,-8.38E-04,0.002432105,0.007064585,40,-0.1,40.4,7.339537695,5.488937726,5.891644212,6.327936784,5.929589143,NA,NA,NA,NA,NA,NA,0.026886714,NA,0.01500743,-0.004279372,-0.010331126,-0.007773131,-0.003045167,-0.001379175,0.001970444,0.005361943,NA,-0.006715014,-6.10E-04,-8.44E-04,0.001138698,-0.04036615,0.136746474,-0.05697608,0.26,0.66,0.66,0.83,0.58,0.33,0.25,0.09,0.09,0.87,0.28,0.94,1.24,1.14,0.92,0.76,1.42,NA,0.002476996,7.20E-04,-0.002066558,-0.003042545,0.015074059,0.021016899,0,0.016218079,0,0.02453089,0.0013674,-4.89E-06,0.003338901,-2.14E-05,0.005988042,0.005201563,-1.83E-05,-0.003418807,0.003231021,0.003350087,0.00117012,0.006349138,7.02E-04,8.80E-05,0,-0.003991771,0.014434745,NA,-0.013087624,-0.006685174,0.016332905,NA
10/01/1959,0.00127139,0.001169756,-0.006825102,0.001619643,0.007288018,-0.007291136,-0.002364437,-0.004733401,-0.00473788,0.022900124,-0.01270783,-0.007809871,-0.01017847,-0.01617696,-0.018833999,-0.008541362,0.002538227,-0.005846953,-0.8952,-52,-0.027978862,0.004018467,0.002174568,0.2,-0.8,0.088362939,0.013245227,-0.013498518,-0.029380644,0.002239643,0.131090444,-0.001311033,-0.006688284,0.004739708,-0.011537956,-0.006313318,-0.007920385,-0.00408292,0.00165676,2.73E-04,0.001551591,0.001803493,0.00283,0.003150754,39.6,0,40.1,7.211556733,5.537334267,5.720311777,6.09356977,5.866468057,NA,NA,NA,NA,NA,NA,0.01872593,NA,0.012946697,0.003183842,0.010331126,0.002810292,-0.001685943,-0.004148974,0,0,NA,-5.59E-04,0.001408164,5.36E-04,0.001188934,-8.77E-04,0.014484786,-0.017700201,0.22,0.1,0.01,-0.17,-0.2,-0.18,-0.15,0.05,0.1,0.75,0.07,0.55,0.82,0.74,0.55,0.59,1.3,NA,0.003162551,3.60E-04,9.27E-04,-0.00410635,-0.021070956,-0.026968976,0,-0.012987059,0,-0.006237017,0.001016942,-0.002209946,-1.11E-05,-0.004618946,-0.005988042,-0.002600782,-1.81E-05,0.003407158,-0.003231021,-0.003350087,-2.02E-04,-0.002400819,-2.23E-04,3.75E-04,0,0.003898399,-0.009638573,NA,-0.001601367,-0.003006789,-0.003397303,NA
