RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,DTCOLNVHFNM,DTCTHFNM,INVEST,MICH
-0.003523249,-0.003816379,-0.010759627,-0.031093725,-0.01993604,-0.0146788,-0.019458818,-0.022766095,-0.026789509,-0.055326379,-0.013895119,-0.02131658,-0.009523621,-0.015374482,0.004786744,-0.015290536,-0.009110058,-0.014189887,-1.5104,34,-0.00525455,0.003794129,0.002960387,0,-0.7,0.034219078,0.024428696,-0.044054743,-0.034343221,-0.05387299,-0.024206079,0.002177464,0.000128356,-0.003137375,-0.014292998,0.00334016,0.00497709,0.000703284,0.002960929,0.003494878,0.003322544,0.003396294,0.003356834,0.004687157,38.7,0,39.5,7.448916103,4.820281566,5.97126184,6.556778356,6.210600077,7.461640392,5.262690189,5.860786223,6.475432717,6.304448802,-0.063099788,0.008914078,0.012414774,0.051655629,0.003546657,0.00113416,0.000980392,-0.015557747,0.026327056,0.050139276,0.004172462,0.002077594,0.005908442,0.001233921,-0.038794456,0.244909603,-0.047678984,0.14,0.14,0.37,0.3,0.32,0.29,0.27,0.22,0.18,0.05,-0.26,0,0.58,1.07,1.26,1.71,2.47,-0.044747221,0.000241027,0.042593314,0.003547877,-2.02E-05,-2.06E-05,-2.03E-05,-0.001711618,0,0.00378867,0.001572981,-0.00375235,-2.52E-05,-0.001730885,0.003021039,-2.10E-05,0.001689892,0.001600666,-0.001561146,0.003179522,0.001035059,-0.003952326,0.000362368,0.002889355,0.00647236,0.001260983,0.008586096,0.138104573,0.033388654,-0.018726536,5.2
0.004471863,0.005251243,0.014484485,0.022674532,0.023337322,0.005400959,0.012109428,0.015841007,0.016372029,0.024978843,0.012529756,0.024871071,-0.001814741,0.000668054,0.008223546,0.004002467,0.049532169,-0.02143618,0.087,33,0.022974888,-0.000356948,0.001429305,-0.1,-0.4,-0.021475414,-0.02391363,-0.036570546,0.099681771,-0.197941064,0.087901294,0.004175962,0.003374125,0.005818741,0.007172035,0.002470994,0.003217534,0.001264667,0.004481937,0.003830311,0.005336566,0.003033396,0.006680052,0.003836077,39.4,0.2,39.9,7.460490306,4.49980967,6.079933195,6.533788838,6.259581464,7.459338895,5.117993812,6.00635316,6.429719478,6.29710932,0.038998584,0.013357942,0.006877703,-0.030993377,-0.007833894,-0.00285051,-0.000245008,-0.013894421,-0.077618459,-0.034482759,0.001507718,-0.000450888,0.001214465,0.000527687,-0.014171972,0.123248015,-0.022498904,0.08,0.01,0.01,0.04,0.06,0.06,0.07,0.06,0.03,-0.02,-0.33,-0.04,0.56,1.05,1.25,1.69,2.42,-0.039432184,-0.002944421,0.002219413,0.010658578,0.002947312,0.002973601,0.002951661,0.002749408,0,-0.001280937,-0.001626743,-0.007518832,-0.00334167,0.004995337,-0.001541512,0.003000363,-4.71E-05,-0.003273187,0.00305799,-0.001624102,-0.001246229,-0.001520982,-0.002334793,-0.000526581,-0.003299091,-4.14E-05,-0.008684542,-0.006902182,-0.000589435,0.012094861,6.4
0.005670587,0.006213851,0.009936641,0.009991188,0.024362067,0.019104078,0.023469709,0.025640959,0.020051612,0.030246047,0.015437036,0.029043068,0.014367769,0.017429594,0.001600419,0.017707866,0.038345684,0.031881528,1.2231,133,0.018952465,0.002525642,0.002493741,0,-0.1,0.037981495,0.012282652,-0.034032177,-0.115468377,0.068092916,-0.093615596,0.006009126,0.008322412,0.020758935,0.029142422,0.003213887,0.003293754,0.003084691,0.005125471,0.005026733,0.004900911,0.004414563,0.004649626,0.003821417,40,0,40.5,7.616775809,5.123963979,6.054439346,6.775366091,6.33150185,7.494986234,5.159055299,6.011267174,6.472346295,6.345636361,0.049257625,0.024618949,0.013035385,0,0.002369505,0.000676372,-0.00112781,0.014690798,0.015511457,-0.016483516,0.001585786,0.000203268,0.003859974,0.000636311,-0.001799776,0.058413915,-0.011574934,0.01,-0.01,-0.16,-0.11,-0.03,0.03,0.01,0,0.02,-0.04,-0.5,-0.16,0.52,1.07,1.25,1.68,2.43,-0.005777327,-0.036066028,-0.017737325,0.011434822,-0.003000381,-0.001540641,-0.001528874,0.004048597,0,-0.01387706,0.001555856,0.012537664,-2.76E-06,-0.005071352,0.001477714,0.002932663,-4.64E-05,0.003210141,-3.75E-05,0.003127005,0.001819103,0.002729812,0.005737195,-0.000730253,0.001552402,0.003763815,-0.001725445,0.007010379,0.006644347,0.004901433,6.3
0.005710833,0.007963772,0.00600566,0.029846581,0.024663394,0.019660053,0.011447278,0.010890528,0.006538317,0.019785185,0.000428637,0.021408937,0.028537232,0.017931548,0.013246878,0.015120474,-0.070995774,0.000325009,1.0244,266,0.060769519,0.004756604,0.00672107,-0.2,-0.1,-0.043059489,-0.040482954,-0.019123563,0.0061013,-0.048790164,-0.068174541,0.008180815,0.015066277,0.203395709,0.030641096,0.003896351,0.005867144,0.000699741,0.005533834,0.005804114,0.005830502,0.005460232,0.004408206,0.004186761,40.1,-0.1,40.4,7.694848072,5.521460918,6.167516491,6.805722553,6.340359304,7.574558484,5.318119994,6.02827852,6.647688374,6.324358962,0.034676762,0.019211713,0.013630653,-0.051655629,0.003511249,0.001127273,-0.001522108,0.013032395,0.043830027,0.016759777,-3.67E-05,0.000546021,-0.00422087,-5.33E-05,0.042864492,-0.187199787,0.033647136,0.1,0.07,0,0.1,0.14,0.12,0.11,0.09,0.1,-0.07,-0.6,-0.16,0.56,1.09,1.26,1.67,2.43,0.003522889,-0.044089497,-0.029720978,0.014024486,0.007295743,0.007323059,-0.001502159,0.012158849,0,0.017686467,0.001526365,0.004943891,-2.75E-06,0.003275499,0.002935913,-0.004550324,0.001633452,-4.14E-05,0.001474648,-6.18E-05,0.001091973,-0.000309517,0.001478729,0.001196549,0.003091185,-0.005127689,0.005060293,0.009025284,0.007900729,0.001308431,6.7
0.001150809,0.000392603,0.003983829,-0.000951682,0.006400046,0.004875148,0.000258181,-0.001096306,-0.005588908,-0.015176886,-0.001139053,0.006341737,0.009788363,0.008914553,-0.000831674,0.004778831,0.010788681,0.04233386,0.1573,-38,0.000359806,0.003165088,0.003923358,-0.1,-0.2,0.042711118,-0.03284279,-0.056140682,-0.121439347,0.017493157,0.00306279,0.00401921,0.003077565,0.00675398,-0.001393728,0.00404041,0.005747389,0.001258301,0.004382698,0.005086743,0.005630873,0.006153112,0.004169873,0.002339478,39.9,0,40.4,7.637716433,5.278114659,6.137727054,6.775366091,6.29156914,7.476472381,5.214935758,5.958424693,6.467698726,6.311734809,0.010901469,0.023783591,0.00938083,0.010331125,0.006034537,0.001411117,-0.001622858,-0.007786384,-0.02192599,-0.013736264,-0.000196746,0.001489543,0.004437583,0.001174305,0.049452533,-0.214083213,0.038846494,0.47,0.24,0.12,0.29,0.37,0.2,0.2,0.13,0.17,-0.3,-0.95,-0.34,0.46,0.82,0.99,1.33,2.13,0.031007031,0.019291922,-0.017231464,-0.020440476,-0.004468144,-0.007436358,0.004356968,-0.022758124,0,-0.005069647,0.001490362,-0.002555281,0.003297592,-0.001703178,-7.93E-05,0.002910289,-0.001735662,-4.08E-05,-5.70E-05,-6.08E-05,-0.000431391,0.00081694,-0.000189657,-0.000854017,-0.004805377,0.006220737,-0.003421183,0.006484611,0.006019475,-0.019733916,6.9
0.003640694,0.005812093,0.003247732,0.005527941,0.017150925,0.006435709,0.008425287,0.008767661,0.005450765,0.005306624,0.005530524,0.015376687,0.004337629,0.006109667,0.002483438,0.00715342,-0.009344233,-0.03255621,0.357,4,0.013127845,0.004650784,0.005975699,-0.1,0,-0.028987537,0.063100706,-0.049071894,-0.022223137,-0.078117779,-0.008445348,0.005084786,0.006456976,0.009519964,0.017740357,0.003759901,0.004097317,0.003208484,0.004554943,0.006081465,0.005245883,0.006034593,0.005678111,0.001136149,40.2,0.1,40.6,7.635303886,5.323009979,6.163314804,6.739336627,6.300785795,7.592366129,5.257495372,5.950642553,6.473890696,6.632001777,0.014737925,0.020784369,0.010362509,0,-0.008821029,-0.001650851,-0.001625496,0.001428995,0.0026773,0.008356546,-0.001701437,-0.000339352,0.001904091,0.001181786,0.002563184,0.024741692,-0.008991736,0.24,0.53,0.32,0.21,0.27,0.18,0.11,0.07,0.11,-0.01,-0.87,-0.37,0.49,0.76,0.86,1.16,2,-0.041454021,-0.054851865,0.010450674,0.002856635,0.001383391,0.004304402,-0.001520323,0.014762641,0,0.01738543,-0.001623816,-0.003724196,0.001613575,-4.29E-05,-7.79E-05,-0.001536647,0.001609815,0.001535731,0.001430794,0.001475011,-0.000608853,0.000136076,-0.001253309,-0.000502216,0.003066407,-0.005063908,0.003307999,0.003706028,0.002243232,0.012804176,6.5
0.005485257,0.002202494,-0.004754892,-0.008272896,-0.006469915,-0.00075313,-0.001178581,-0.001062966,-0.005469774,0.001374414,-0.00862276,0.007642578,-0.000301159,0.005735158,-0.008816312,-0.00093275,-0.002144668,0.003555174,-0.3288,1,-0.034228864,0.000273478,-0.002629488,0.3,-0.1,0.096027283,-0.041443119,0.015413149,0.004204631,0.027736755,0.076989597,0.002916961,0.002554701,0.007690553,0.005465739,0.001689992,0.004250261,-0.002510111,0.003056938,0.001359004,0.003458542,0.004127129,0.004996209,0.003086325,40.2,-0.1,40.6,7.645875825,5.370638028,6.169610732,6.727431725,6.335054251,7.487733761,5.384495063,5.988961417,6.486160789,6.240275845,-0.017714555,0.0181217,0.009436415,0.020662252,-0.003766195,-0.001847726,-0.003456794,0.005818116,0.018465832,0.019337017,-0.001627195,-0.001434355,-0.00814305,1.51E-05,-0.004824233,0.062043359,-0.012739969,0.21,0.26,0.28,0.21,0.3,0.18,0.18,0.12,0,0.04,-0.8,-0.37,0.58,0.73,0.83,1.07,1.79,-0.044133578,-0.069679381,0.030923393,0.002492879,-7.41E-05,-0.001531628,-0.004365659,-0.029800909,0,-0.026077826,-5.92E-05,-0.004909487,0.001581836,-4.23E-05,-0.001522634,-0.00295604,-6.83E-05,-6.20E-05,-0.004507537,-0.001605602,-0.001060305,-0.001252549,-0.003350183,0.000382644,-0.001623816,-0.001269063,-6.92E-05,-0.003707769,-0.006148356,-0.011400947,6.6
0.004515605,0.004564932,0.008979174,0.012957422,0.013119171,0.004000939,0.004567373,0.005811388,-0.001539432,-0.005103496,0.000132004,0.018258817,0.003404955,0.009781998,-0.005701023,0.004888281,-0.01053187,0.032868321,0.1625,76,0.040290161,0.001093163,0.003542474,-0.3,-0.6,-0.071229696,0.052176675,-0.100275143,-0.126562723,-0.072472649,-0.004149087,0.003194287,0.00304064,0.002666205,0.003853569,0.002898018,0.004232273,0.000697885,0.003253635,0.003727765,0.005667728,0.002444018,0.003892738,-0.000629089,40.1,0,40.5,7.598900457,5.288267031,6.040254711,6.701960366,6.335054251,7.433075349,5.308267697,5.96100534,6.453624999,6.144185634,0.034147378,0.021509108,0.010762554,-0.010331126,0.003721411,0.002835825,0.000988875,-0.019287709,-0.039673654,-0.013550136,-0.00283025,0.001818862,0.00125485,0.000363484,0.066761073,-0.293415032,0.062086166,0.23,-0.02,0.07,-0.07,-0.08,-0.21,-0.23,-0.19,-0.12,-0.21,-0.96,-0.67,0.27,0.29,0.37,0.65,1.44,-0.078860849,-0.056584381,0.023831137,0.013951661,-0.007150017,-0.008620743,0.004292777,-0.001384994,0,0.052189631,-0.001574574,0.003677223,-0.00167749,0.001562091,-0.002930059,0.001427118,-6.72E-05,-0.001612628,0.001451976,-0.001569635,-0.000398037,0.001121662,-0.00123455,-0.000370789,-0.001587058,0.002423715,-0.00334677,-0.00329492,0.00449187,0.007563788,8.7
0.001312969,0.002632344,-0.001615703,-0.002285601,0.00464297,0.002441758,0.003626044,0.004275672,0.001805519,-0.005766025,0.005281684,0.010535501,0.001195687,0.00677556,0.006416916,0.00437993,0.030161955,0.006914716,0.1168,66,0.005058674,0.002766604,0.00247539,0.1,0,0.02862758,-0.043112363,0.05177627,0.082238098,0.019418086,-0.077942167,0.001576206,0.002867797,0.005080842,0.000904568,0.003256819,0.005223264,0,0.001076921,0.003208288,0.003310798,0.002828799,0.003662613,-0.004541162,40,0.2,40.5,7.585788822,5.468060141,5.993961427,6.70930434,6.238324625,7.467942332,5.313205979,5.96870756,6.483107351,6.22059017,0.024265965,0.025721528,0.010337153,0,0.001672302,0.001512867,-0.000444873,0.011060633,0.021136517,0.008241758,-7.76E-05,-0.002950617,-0.003006835,0.000304124,0,0.035293551,-0.007627101,0.41,0.56,0.77,0.62,0.33,0.1,0.01,0,-0.06,-0.06,-0.6,-0.46,0.19,-0.02,-0.03,0.24,0.97,-0.060261054,0.006390973,0.009692135,0.022543004,0.008472609,0.009964495,0.001368279,0.025579111,0,-0.044830227,0.002975207,-5.99E-06,0.003158379,-0.001655298,0.004276238,0.001402337,0.001545503,0.003043087,-3.46E-05,0.001466009,0.000616209,-0.000699387,0.001329437,0.000624639,0.001481194,-5.38E-05,0.004865718,-0.007375061,-0.008160728,0.00994392,6.9
0.003643363,0.00435907,0.001705387,0.008882534,0.017639397,0.007637744,0.00567373,0.004912021,-0.001751336,0.002884193,-0.003822879,0.019773094,0.00969383,0.011444473,0.00328628,0.006964992,-0.000867627,0.013987131,0.333,155,0.049505077,0.002768672,0.004778057,-0.2,0.3,-0.054142784,-0.027443207,0.008374621,0.055451305,-0.045909701,0.017362347,0.003815994,0.004245597,0.007916063,0.005185447,0.003873336,0.005446865,0.001254968,0.003649726,0.005547942,0.006126304,0.004108547,0.003220615,0.002462356,40.1,0,40.5,7.591357047,5.288267031,6.049733455,6.741700695,6.238324625,7.484930283,5.209486153,5.948034989,6.52649486,6.276643489,0.036246466,0.032473392,0.012766569,0,-0.004291194,-0.003174115,-0.003566126,0.002857302,0.010443305,0.010899183,0.001138218,0.002955271,-0.002596261,-0.000643759,-0.03227664,0.175061403,-0.041045095,0.51,0.59,0.14,0.56,0.5,0.18,0.22,0.2,0.17,0.02,-0.97,-0.41,0.18,-0.35,-0.32,-0.07,0.63,-0.021377416,-0.033671989,0.024200828,0.013962427,-0.005683541,-0.004314763,0.002736557,0.006167104,0,0.037082806,-8.14E-05,0.003641457,0.001489158,0.001540458,-7.35E-05,-5.15E-05,-0.001689525,-8.52E-05,0.001418234,0.001432839,0.002273551,0.001474807,0.002743737,0.002165235,0.001447323,-0.00488395,-0.00170679,-0.005502974,-0.00040535,-0.012071171,7.4
